#S8-6
#Lat: -26.855106587
#Lon: 116.730025307
#HAE: 330.2901
#Datum: WGS84
#Epoch: 2024.2
#SB-Antenna,EEP,Easting,Northing,AHD,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z,E,N,U
SB10-08,148,473192.5334,7029591.6546,347.1808,-26.855038471,116.730152188,330.3800,-2561303.6504,5085915.9531,-2864044.1909,12.6103,7.5478,0.0899
SB10-09,114,473189.6147,7029591.7248,347.1657,-26.855037781,116.730122810,330.3649,-2561301.0521,5085917.2852,-2864044.1159,9.6905,7.6242,0.0748
SB10-10,127,473192.3160,7029589.2878,347.1852,-26.855059836,116.730149950,330.3844,-2561302.9725,5085915.1014,-2864046.3050,12.3878,5.1803,0.0943
SB10-11,106,473191.4988,7029587.7891,347.1711,-26.855073352,116.730141691,330.3703,-2561301.9294,5085914.8552,-2864047.6347,11.5670,3.6828,0.0802
SB11-01,135,473189.9057,7029594.1814,347.1616,-26.855015607,116.730125792,330.3609,-2561301.8145,5085918.1399,-2864041.9220,9.9869,10.0812,0.0708
SB11-02,169,473191.6525,7029593.7521,347.1713,-26.855019517,116.730143366,330.3706,-2561303.2903,5085917.1872,-2864042.3128,11.7335,9.6481,0.0804
SB11-03,190,473190.7970,7029596.3845,347.1646,-26.854995733,116.730134810,330.3640,-2561303.0636,5085918.6277,-2864039.9587,10.8832,12.2834,0.0738
SB11-04,224,473193.2039,7029597.1321,347.1484,-26.854989029,116.730159055,330.3478,-2561305.3602,5085917.8307,-2864039.2886,13.2928,13.0263,0.0576
SB11-05,245,473191.8451,7029598.3371,347.1582,-26.854978124,116.730145403,330.3576,-2561304.3978,5085918.9363,-2864038.2150,11.9360,14.2347,0.0674
SB11-06,211,473189.1881,7029599.0477,347.1608,-26.854971657,116.730118673,330.3601,-2561302.1717,5085920.4224,-2864037.5769,9.2793,14.9512,0.0700
SB11-07,232,473188.3937,7029600.8789,347.1564,-26.854955108,116.730110716,330.3558,-2561301.8362,5085921.5145,-2864035.9390,8.4885,16.7850,0.0657
SB11-08,156,473189.0417,7029595.7367,347.1574,-26.855001548,116.730117128,330.3568,-2561301.3602,5085919.1525,-2864040.5303,9.1257,11.6391,0.0666
SB11-09,122,473187.0594,7029594.9717,347.1497,-26.855008416,116.730097158,330.3490,-2561299.4298,5085919.7320,-2864041.2058,7.1410,10.8780,0.0589
SB11-10,101,473187.5049,7029593.2155,347.1455,-26.855024282,116.730101604,330.3448,-2561299.4656,5085918.8206,-2864042.7723,7.5829,9.1201,0.0546
SB12-01,130,473182.3892,7029596.5611,347.1491,-26.854993977,116.730050181,330.3484,-2561295.5847,5085922.4771,-2864039.7781,2.4721,12.4780,0.0583
SB12-02,109,473184.7512,7029596.0922,347.1504,-26.854998256,116.730073947,330.3497,-2561297.5985,5085921.2244,-2864040.2017,4.8341,12.0039,0.0596
SB12-03,143,473186.4669,7029596.7546,347.1527,-26.854992308,116.730091232,330.3520,-2561299.2677,5085920.7195,-2864039.6147,6.5520,12.6630,0.0619
SB12-04,164,473184.3650,7029597.9405,347.1534,-26.854981561,116.730070100,330.3527,-2561297.6341,5085922.1451,-2864038.5526,4.4518,13.8538,0.0626
SB12-05,177,473187.8113,7029597.8690,347.1650,-26.854982273,116.730104789,330.3643,-2561300.7019,5085920.5718,-2864038.6282,7.8994,13.7749,0.0742
SB12-06,198,473186.5359,7029600.2320,347.1496,-26.854960913,116.730092001,330.3490,-2561300.0415,5085922.0862,-2864036.5098,6.6284,16.1417,0.0589
SB12-07,219,473184.8013,7029600.7606,347.1465,-26.854956108,116.730074551,330.3459,-2561298.5995,5085923.0786,-2864036.0333,4.8942,16.6742,0.0557
SB12-08,253,473187.0216,7029602.0747,347.1532,-26.854944286,116.730096930,330.3526,-2561300.8549,5085922.6121,-2864034.8677,7.1183,17.9842,0.0625
SB12-09,240,473182.4859,7029602.6769,347.1444,-26.854938762,116.730051286,330.3438,-2561296.9241,5085924.8925,-2864034.3176,2.5819,18.5963,0.0537
SB12-10,185,473182.8042,7029600.5828,347.1302,-26.854957674,116.730054445,330.3296,-2561296.7730,5085923.8944,-2864036.1808,2.8959,16.5006,0.0395
SB12-11,96,473181.2584,7029595.2496,347.1221,-26.855005796,116.730038770,330.3214,-2561294.2949,5085922.4373,-2864040.9343,1.3380,11.1684,0.0313
SB13-01,104,473176.7482,7029595.6206,347.1070,-26.855002360,116.729993377,330.3064,-2561290.3369,5085924.6081,-2864040.5878,-3.1734,11.5492,0.0163
SB13-02,138,473178.8199,7029597.7957,347.1243,-26.854982761,116.730014278,330.3237,-2561292.6403,5085924.5637,-2864038.6581,-1.0962,13.7208,0.0335
SB13-03,151,473180.8737,7029598.7886,347.1347,-26.854973836,116.730034973,330.3340,-2561294.6824,5085924.0458,-2864037.7806,0.9606,14.7097,0.0439
SB13-04,172,473179.2413,7029599.5088,347.0893,-26.854967302,116.730018557,330.2886,-2561293.3542,5085925.0356,-2864037.1141,-0.6709,15.4338,-0.0015
SB13-05,206,473181.0807,7029600.9545,347.1129,-26.854954285,116.730037103,330.3122,-2561295.3030,5085924.8073,-2864035.8380,1.1723,16.8761,0.0221
SB13-06,227,473177.9677,7029601.2530,347.0498,-26.854951530,116.730005774,330.2492,-2561292.5587,5085926.2808,-2864035.5371,-1.9414,17.1815,-0.0409
SB13-07,193,473176.5805,7029600.0407,347.0543,-26.854962449,116.729991784,330.2537,-2561291.0729,5085926.4216,-2864036.6185,-3.3318,15.9716,-0.0364
SB13-08,248,473174.9799,7029602.8953,347.0893,-26.854936645,116.729975734,330.2887,-2561290.2432,5085928.3205,-2864034.0835,-4.9269,18.8308,-0.0014
SB13-09,214,473174.4207,7029600.4071,347.0519,-26.854959099,116.729970052,330.2513,-2561289.2182,5085927.5410,-2864036.2863,-5.4917,16.3428,-0.0388
SB13-10,159,473175.5209,7029598.4446,347.0782,-26.854976840,116.729981084,330.2776,-2561289.8086,5085926.2756,-2864038.0519,-4.3952,14.3770,-0.0126
SB13-11,125,473175.3585,7029596.6831,347.0878,-26.854992741,116.729979412,330.2871,-2561289.3060,5085925.6471,-2864039.6282,-4.5614,12.6150,-0.0030
SB14-01,133,473171.0974,7029594.3652,347.0675,-26.855013586,116.729936470,330.2669,-2561285.0168,5085926.6186,-2864041.6797,-8.8293,10.3052,-0.0233
SB14-02,167,473170.4460,7029597.2450,347.0856,-26.854987573,116.729929974,330.2849,-2561285.0331,5085928.0864,-2864039.1163,-9.4749,13.1876,-0.0052
SB14-03,112,473172.8260,7029594.7192,347.0617,-26.855010423,116.729953877,330.2610,-2561286.6309,5085925.9772,-2864041.3644,-7.0992,10.6557,-0.0291
SB14-04,146,473173.5515,7029596.4468,347.0572,-26.854994839,116.729961217,330.2565,-2561287.6314,5085926.3422,-2864039.8218,-6.3697,12.3825,-0.0336
