#S8-1
#SB-Antenna,Easting,Northing,HAE,Lat,Lon,HAE,ECEF-X,ECEF-Y,ECEF-Z
SB12-05,473157.8714,7029469.1102,330.1376,-26.856146415,116.729799017,330.1376,-2561247.2587,5085882.0146,-2864153.6087
SB12-06,473159.1482,7029471.4575,330.1376,-26.856125247,116.729811920,330.1376,-2561248.8806,5085882.3842,-2864151.5161
SB12-07,473158.6477,7029473.2138,330.1376,-26.856109381,116.729806920,330.1376,-2561248.7940,5085883.3171,-2864149.9476
SB12-08,473161.0078,7029472.0331,330.1376,-26.856120086,116.729830652,330.1376,-2561250.6596,5085881.7776,-2864151.0059
SB12-09,473159.0749,7029476.1560,330.1376,-26.856082824,116.729811283,330.1376,-2561249.7792,5085884.3093,-2864147.3223
SB12-10,473157.4556,7029474.7739,330.1376,-26.856095272,116.729794953,330.1376,-2561248.0494,5085884.4828,-2864148.5529
SB12-11,473152.1101,7029473.2401,330.1376,-26.856109017,116.729741112,330.1376,-2561242.9607,5085886.2751,-2864149.9117
SB13-01,473150.0329,7029477.2530,330.1376,-26.856072746,116.729720288,330.1376,-2561241.9289,5085888.8275,-2864146.3261
SB13-02,473152.9705,7029476.6743,330.1376,-26.856078028,116.729749846,330.1376,-2561244.4337,5085887.2701,-2864146.8482
SB13-03,473154.9068,7029475.4483,330.1376,-26.856089134,116.729769311,330.1376,-2561245.9115,5085885.9035,-2864147.9461
SB13-04,473154.6187,7029477.2163,330.1376,-26.856073165,116.729766449,330.1376,-2561246.0170,5085886.7453,-2864146.3675
SB13-05,473156.8406,7029476.4566,330.1376,-26.856080068,116.729788799,330.1376,-2561247.8455,5085885.4376,-2864147.0499
SB13-06,473155.4066,7029479.2397,330.1376,-26.856054912,116.729774423,330.1376,-2561247.1358,5085887.2049,-2864144.5631
SB13-07,473153.6735,7029479.7468,330.1376,-26.856050300,116.729756989,330.1376,-2561245.6920,5085888.1905,-2864144.1071
SB13-08,473155.2255,7029482.6381,330.1376,-26.856024226,116.729772673,330.1376,-2561247.6713,5085888.6551,-2864141.5296
SB13-09,473152.8363,7029481.7618,330.1376,-26.856032091,116.729748604,330.1376,-2561245.3578,5085889.3793,-2864142.3071
SB13-10,473151.7829,7029479.7836,330.1376,-26.856049931,116.729737958,330.1376,-2561244.0111,5085889.0576,-2864144.0707
SB13-11,473150.1760,7029478.9948,330.1376,-26.856057023,116.729721766,330.1376,-2561242.4141,5085889.4644,-2864144.7717
SB14-01,473145.9787,7029481.3737,330.1376,-26.856035464,116.729679566,330.1376,-2561239.1536,5085892.3147,-2864142.6405
SB14-02,473148.0632,7029483.4464,330.1376,-26.856016790,116.729700594,330.1376,-2561241.4406,5085892.2096,-2864140.7945
SB14-03,473147.1542,7029480.0623,330.1376,-26.856047326,116.729691371,330.1376,-2561239.9344,5085891.2567,-2864143.8132
SB14-04,473149.0470,7029480.3842,330.1376,-26.856044457,116.729710430,330.1376,-2561241.6908,5085890.5330,-2864143.5295
SB14-05,473150.9981,7029481.4785,330.1376,-26.856034614,116.729730094,330.1376,-2561243.6579,5085890.0940,-2864142.5565
SB14-06,473149.5172,7029482.3666,330.1376,-26.856026567,116.729715206,330.1376,-2561242.5175,5085891.1193,-2864141.7610
SB14-07,473151.9884,7029483.3593,330.1376,-26.856017652,116.729740103,330.1376,-2561244.9282,5085890.4049,-2864140.8797
SB14-08,473149.2969,7029485.9649,330.1376,-26.855994075,116.729713066,330.1376,-2561243.0591,5085892.6676,-2864138.5490
SB14-09,473147.6434,7029485.2669,330.1376,-26.856000345,116.729696406,330.1376,-2561241.4392,5085893.1320,-2864139.1688
SB14-10,473146.1090,7029486.2351,330.1376,-26.855991574,116.729680982,330.1376,-2561240.2674,5085894.2136,-2864138.3018
SB14-11,473145.7263,7029484.3245,330.1376,-26.856008817,116.729677089,330.1376,-2561239.5337,5085893.6168,-2864140.0063
SB15-01,473147.3405,7029469.2630,330.1376,-26.856144834,116.729693014,330.1376,-2561237.8849,5085886.8238,-2864153.4524
SB15-02,473149.5485,7029471.2983,330.1376,-26.856126500,116.729715284,330.1376,-2561240.2745,5085886.6480,-2864151.6399
SB15-03,473148.8528,7029468.2789,330.1376,-26.856153748,116.729708216,330.1376,-2561239.0336,5085885.7457,-2864154.3336
SB15-04,473150.2782,7029469.6946,330.1376,-26.856140993,116.729722595,330.1376,-2561240.5971,5085885.6732,-2864153.0727
SB15-05,473153.0398,7029468.8653,330.1376,-26.856148534,116.729750377,330.1376,-2561242.8934,5085884.0942,-2864153.8182
SB15-06,473152.7290,7029470.9845,330.1376,-26.856129395,116.729747293,330.1376,-2561243.0506,5085885.0877,-2864151.9261
SB15-07,473152.7757,7029474.9044,330.1376,-26.856094004,116.729747847,330.1376,-2561243.8966,5085886.6452,-2864148.4275
SB15-08,473149.8664,7029475.3744,330.1376,-26.856089704,116.729718572,330.1376,-2561241.3948,5085888.1461,-2864148.0025
SB15-09,473150.3653,7029473.6884,330.1376,-26.856104936,116.729723557,330.1376,-2561241.4944,5085887.2422,-2864149.5083
SB15-10,473147.2089,7029471.3763,330.1376,-26.856125750,116.729691735,330.1376,-2561238.2010,5085887.7342,-2864151.5658
SB16-01,473144.3156,7029475.5828,330.1376,-26.856087716,116.729662700,330.1376,-2561236.4801,5085890.7325,-2864147.8059
SB16-02,473144.5003,7029473.1717,330.1376,-26.856109488,116.729664508,330.1376,-2561236.1504,5085889.6783,-2864149.9582
SB16-03,473146.2317,7029473.5741,330.1376,-26.856105889,116.729681946,330.1376,-2561237.7792,5085889.0598,-2864149.6024
SB16-04,473146.0217,7029476.0536,330.1376,-26.856083498,116.729679884,330.1376,-2561238.1004,5085890.1530,-2864147.3889
SB16-05,473148.5869,7029473.2627,330.1376,-26.856108745,116.729705646,330.1376,-2561239.8187,5085887.8726,-2864149.8848
SB16-06,473148.0338,7029475.2524,330.1376,-26.856090770,116.729700121,330.1376,-2561239.7330,5085888.9232,-2864148.1079
SB16-07,473148.3773,7029478.7133,330.1376,-26.856059530,116.729703654,330.1376,-2561240.7499,5085890.1620,-2864145.0196
SB16-08,473145.7841,7029477.8534,330.1376,-26.856067243,116.729677531,330.1376,-2561238.2575,5085890.9849,-2864145.7821
SB16-09,473144.6618,7029480.1805,330.1376,-26.856046212,116.729666284,330.1376,-2561237.7326,5085892.4279,-2864143.7030
SB16-10,473143.4159,7029477.8415,330.1376,-26.856067305,116.729653692,330.1376,-2561236.1400,5085892.0478,-2864145.7882
SB16-11,473142.9646,7029479.6239,330.1376,-26.856051203,116.729649188,330.1376,-2561236.1027,5085892.9690,-2864144.1965
SB17-01,473139.2316,7029483.6940,330.1376,-26.856014385,116.729611698,330.1376,-2561233.6039,5085896.2909,-2864140.5567
SB17-02,473140.7184,7029481.1979,330.1376,-26.856036950,116.729626611,330.1376,-2561234.4196,5085894.6155,-2864142.7874
SB17-03,473140.9463,7029482.9916,330.1376,-26.856020759,116.729628944,330.1376,-2561234.9912,5085895.2351,-2864141.1868
SB17-04,473142.8840,7029481.4527,330.1376,-26.856034691,116.729648416,330.1376,-2561236.4060,5085893.7417,-2864142.5641
SB17-05,473144.7484,7029482.8407,330.1376,-26.856022195,116.729667213,330.1376,-2561238.3559,5085893.4601,-2864141.3288
SB17-06,473142.9343,7029483.3003,330.1376,-26.856018010,116.729648962,330.1376,-2561236.8300,5085894.4631,-2864140.9151
SB17-07,473143.7943,7029485.4600,330.1376,-26.855998527,116.729657665,330.1376,-2561238.0411,5085894.9451,-2864138.9891
SB17-08,473142.3362,7029486.5332,330.1376,-26.855988810,116.729643011,330.1376,-2561236.9592,5085896.0346,-2864138.0285
SB17-09,473141.0737,7029485.1948,330.1376,-26.856000870,116.729630273,330.1376,-2561235.5570,5085896.0648,-2864139.2207
SB17-10,473138.5395,7029487.4261,330.1376,-26.855980675,116.729604812,330.1376,-2561233.7515,5085898.1059,-2864137.2243
SB18-01,473140.7114,7029468.4275,330.1376,-26.856152249,116.729626266,330.1376,-2561231.7930,5085889.4761,-2864154.1854
SB18-02,473141.1843,7029465.1184,330.1376,-26.856182135,116.729630955,330.1376,-2561231.5364,5085887.9303,-2864157.1398
SB18-03,473142.4332,7029466.4691,330.1376,-26.856169964,116.729643556,330.1376,-2561232.9289,5085887.9112,-2864155.9366
SB18-04,473143.6270,7029467.8202,330.1376,-26.856157788,116.729655602,330.1376,-2561234.2724,5085887.9170,-2864154.7330
SB18-05,473144.7539,7029469.7652,330.1376,-26.856140250,116.729666988,330.1376,-2561235.6779,5085888.1922,-2864152.9992
SB18-06,473142.8517,7029469.5837,330.1376,-26.856141851,116.729647836,330.1376,-2561233.9417,5085888.9768,-2864153.1575
SB18-07,473145.4669,7029471.7073,330.1376,-26.856122729,116.729674206,330.1376,-2561236.7131,5085888.6529,-2864151.2671
SB18-08,473143.0306,7029472.1147,330.1376,-26.856119003,116.729649691,330.1376,-2561234.6209,5085889.9153,-2864150.8989
SB18-09,473140.7111,7029470.1905,330.1376,-26.856136332,116.729626302,330.1376,-2561232.1545,5085890.1861,-2864152.6119
SB18-10,473138.5200,7029469.5026,330.1376,-26.856142500,116.729604230,330.1376,-2561230.0565,5085890.8970,-2864153.2216
SB18-11,473139.0206,7029466.5545,330.1376,-26.856169127,116.729609206,330.1376,-2561229.8987,5085889.4841,-2864155.8539
SB19-01,473139.3487,7029471.3741,330.1376,-26.856125619,116.729612613,330.1376,-2561231.1806,5085891.2770,-2864151.5528
SB19-02,473138.5259,7029473.3559,330.1376,-26.856107710,116.729604372,330.1376,-2561230.8524,5085892.4460,-2864149.7824
SB19-03,473140.9500,7029474.1913,330.1376,-26.856100215,116.729628792,330.1376,-2561233.1888,5085891.6895,-2864149.0415
SB19-04,473142.7988,7029474.2533,330.1376,-26.856099691,116.729647403,330.1376,-2561234.8526,5085890.8810,-2864148.9897
SB19-05,473139.3665,7029475.8596,330.1376,-26.856085121,116.729612888,330.1376,-2561232.1169,5085893.0753,-2864147.5494
SB19-06,473140.8432,7029476.9116,330.1376,-26.856075651,116.729627775,330.1376,-2561233.6516,5085892.8332,-2864146.6133
SB19-07,473140.1270,7029478.5473,330.1376,-26.856060869,116.729620601,330.1376,-2561233.3475,5085893.8148,-2864145.1520
SB19-08,473138.0701,7029477.2103,330.1376,-26.856072901,116.729599867,330.1376,-2561231.2362,5085894.2037,-2864146.3414
SB19-09,473138.1128,7029479.6012,330.1376,-26.856051316,116.729600348,330.1376,-2561231.7649,5085895.1472,-2864144.2075
SB19-10,473136.3004,7029477.0800,330.1376,-26.856074043,116.729582050,330.1376,-2561229.6289,5085894.9490,-2864146.4543
SB19-11,473134.5960,7029477.6085,330.1376,-26.856069239,116.729564905,330.1376,-2561228.2152,5085895.9303,-2864145.9794
SB20-01,473133.9811,7029482.0107,330.1376,-26.856029481,116.729558810,330.1376,-2561228.5693,5085897.9802,-2864142.0491
SB20-02,473133.9573,7029480.2596,330.1376,-26.856045291,116.729558532,330.1376,-2561228.1887,5085897.2858,-2864143.6119
SB20-03,473136.2930,7029479.1573,330.1376,-26.856055288,116.729582020,330.1376,-2561230.0486,5085895.7889,-2864144.6003
SB20-04,473136.3607,7029481.2653,330.1376,-26.856036257,116.729582747,330.1376,-2561230.5416,5085896.6072,-2864142.7189
SB20-05,473138.6299,7029481.9721,330.1376,-26.856029919,116.729605604,330.1376,-2561232.7132,5085895.8688,-2864142.0924
SB20-06,473137.0997,7029484.0819,330.1376,-26.856010841,116.729590246,330.1376,-2561231.7795,5085897.4083,-2864140.2064
SB20-07,473138.6595,7029485.4249,330.1376,-26.855998746,116.729605976,330.1376,-2561233.4481,5085897.2459,-2864139.0107
SB20-08,473136.2799,7029486.1703,330.1376,-26.855991970,116.729582038,330.1376,-2561231.4758,5085898.6189,-2864138.3409
